sample_id	species_id	species_abund	gene_id	enzyme_id	count_reads	read_depth	copy_number
WF_50	Ruminococcus_bicirculans_59300	0.0565636311359	1160721.7.peg.1626	2.5.1.48	74	4.40731504572	1.37958208818
WF_50	Ruminococcus_bicirculans_59300	0.0565636311359	1160721.7.peg.1823	2.5.1.48	74	4.16055419723	1.30234076481
WF_50	Ruminococcus_bicirculans_59300	0.0565636311359	1160721.7.peg.460	2.5.1.48	89	4.67205542725	1.46245138266
WF_50	Ruminococcus_bicirculans_59300	0.0565636311359	1160721.7.peg.692	2.5.1.47	41	3.09003215434	0.96724490258
WF_50	Ruminococcus_bicirculans_59300	0.0565636311359	1160721.7.peg.727	2.7.2.1	50	2.7343358396	0.855904492476
WF_50	Anaerostipes_hadrus_55206	0.126835471123	245018.3.peg.1673	1.2.1.3	40	2.07423580786	0.315500790928
WF_50	Anaerostipes_hadrus_55206	0.126835471123	245018.3.peg.1913	2.8.3.8	37	1.6976744186	0.258224074514
WF_50	Anaerostipes_hadrus_55206	0.126835471123	245018.3.peg.1999	3.5.1.25	70	4.50224618149	0.684812317784
WF_50	Anaerostipes_hadrus_55206	0.126835471123	245018.3.peg.2956	3.5.1.47	102	6.17590149516	0.939382976146
WF_50	Anaerostipes_hadrus_55206	0.126835471123	245018.3.peg.508	2.5.1.47	84	6.14731182796	0.935034356485
WF_50	Anaerostipes_hadrus_55206	0.126835471123	245018.3.peg.552	2.5.1.49	37	2.02570093458	0.308118413837
WF_50	Anaerostipes_hadrus_55206	0.126835471123	245018.3.peg.991	3.6.1.7	18	4.64102564103	0.705921310832
WF_50	Anaerostipes_hadrus_55206	0.126835471123	411484.7.peg.1161	2.5.1.48	133	7.7219343696	1.17454167548
WF_50	Anaerostipes_hadrus_55206	0.126835471123	411484.7.peg.1171	2.5.1.47	159	11.9563365282	1.81861368749
WF_50	Anaerostipes_hadrus_55206	0.126835471123	411484.7.peg.519	2.5.1.49	36	1.93287037037	0.293998458759
WF_50	Anaerostipes_hadrus_55206	0.126835471123	411484.7.peg.650	2.7.2.1	59	3.47774979009	0.528981712332
WF_50	Anaerostipes_hadrus_55206	0.126835471123	649757.3.peg.2538	2.5.1.49	33	1.61805555556	0.246113679847
WF_50	Anaerostipes_hadrus_55206	0.126835471123	649757.3.peg.2672	2.5.1.48	34	2.07167530225	0.315111326266
WF_50	Anaerostipes_hadrus_55206	0.126835471123	658089.3.peg.1133	1.2.1.3	0	0.0	0.0
WF_50	Anaerostipes_hadrus_55206	0.126835471123	658089.3.peg.1316	2.5.1.48	25	1.50863557858	0.229470398911
WF_50	Anaerostipes_hadrus_55206	0.126835471123	658089.3.peg.1460	1.2.1.3	45	2.31877729258	0.352696673648
WF_50	Anaerostipes_hadrus_55206	0.126835471123	658089.3.peg.1834	2.7.2.1	84	4.99076406381	0.75911813088
WF_50	Anaerostipes_hadrus_55206	0.126835471123	658089.3.peg.1842	3.6.1.7	7	1.85714285714	0.282479956268
WF_50	Anaerostipes_hadrus_55206	0.126835471123	658089.3.peg.2762	2.5.1.49	62	3.57087227414	0.54314606976
