sample_id	species_id	species_abund	gene_id	enzyme_id	count_reads	read_depth	copy_number
WF_50	Ruminococcus_bicirculans_59300	0.0565636311359	1160721.7.peg.1238	1.1.1.1	148	4.09965635739	1.28327846312
WF_50	Ruminococcus_bicirculans_59300	0.0565636311359	1160721.7.peg.1497	1.1.1.1	52	3.07407407407	0.962249688608
WF_50	Ruminococcus_bicirculans_59300	0.0565636311359	1160721.7.peg.881	1.1.1.1	49	2.77551020408	0.868792932522
WF_50	Anaerostipes_hadrus_55206	0.126835471123	245018.3.peg.1068	1.1.1.1	15	0.966666666667	0.147034438776
WF_50	Anaerostipes_hadrus_55206	0.126835471123	411484.7.peg.2363	1.1.1.1	42	2.46513605442	0.37495851338
WF_50	Anaerostipes_hadrus_55206	0.126835471123	649757.3.peg.2258	1.1.1.1	38	2.57523809524	0.391705539359
WF_50	Anaerostipes_hadrus_55206	0.126835471123	658089.3.peg.1048	1.1.1.1	78	4.74453193351	0.721665093203
WF_50	Anaerostipes_hadrus_55206	0.126835471123	658089.3.peg.2659	1.1.1.1	53	3.17006802721	0.482181903374
WF_50	Anaerostipes_hadrus_55206	0.126835471123	658089.3.peg.2660	1.1.1.1	4	2.13333333333	0.324489795918
WF_50	Anaerostipes_hadrus_55206	0.126835471123	658089.3.peg.489	1.1.1.1	125	8.15435606061	1.24031500029
WF_50	Eubacterium_rectale_56927	0.0567160582701	515619.6.peg.1017	1.1.1.1	11	0.629437229437	0.175617249568
WF_50	Eubacterium_rectale_56927	0.0567160582701	515619.6.peg.1188	1.1.1.1	104	7.08649173955	1.97717918512
WF_50	Eubacterium_rectale_56927	0.0567160582701	515619.6.peg.87	1.1.1.1	11	0.62447257384	0.174232077035
WF_50	Eubacterium_rectale_56927	0.0567160582701	657317.3.peg.372	1.1.1.1	79	4.2735042735	1.19233663252
WF_50	Eubacterium_rectale_56927	0.0567160582701	657317.3.peg.925	1.1.1.1	30	1.74430379747	0.486672571935
WF_50	Eubacterium_rectale_56927	0.0567160582701	657318.4.peg.2852	1.1.1.1	20	1.16624472574	0.325390176301
WF_50	Eubacterium_rectale_56927	0.0567160582701	657318.4.peg.786	1.1.1.1	123	8.13508260447	2.2697431375
WF_50	Alistipes_putredinis_61533	0.0594781416716	445970.5.peg.1485	1.1.1.1	131	4.87375415282	1.54104633434
WF_50	Bacteroides_vulgatus_57955	0.120293133333	1235786.3.peg.3733	1.1.1.1	4	0.254049445865	0.0290481543531
WF_50	Bacteroides_vulgatus_57955	0.120293133333	457395.6.peg.4619	1.1.1.1	0	0.0	0.0
